variant,case_id,complexity,category,P@5,R@5,F1@5,nDCG@5,MAP,MRR,rank_changed_at5,mean_abs_score_delta,n_detected_problems,h2l_mean_top5
Full V6,DISABLED_010,moderate,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.6340063126189859,4,3.1541647340000005
Full V6,HOMELESS_001,moderate,คนเร่ร่อน/ไร้ที่อยู่,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.32735458015040125,4,2.033473706
Full V6,HOMELESS_002,complex,คนเร่ร่อน/ไร้ที่อยู่,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,False,0.12742245719751008,2,0.970167554
Full V6,HOMELESS_003,simple,คนเร่ร่อน/ไร้ที่อยู่,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,False,0.2690366666483163,4,1.7825482580000003
Full V6,HOMELESS_004,moderate,คนเร่ร่อน/ไร้ที่อยู่,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.10310278461973188,2,0.8148756939999998
Full V6,HOMELESS_005,complex,คนเร่ร่อน/ไร้ที่อยู่,0.0,0.0,0.0,0.0,0.0,0.0,False,0.4620543608397679,4,2.842223978
Full V6,MENTAL_001,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.4,0.5,0.4444444444444445,0.6097426926720908,0.54375,1.0,False,0.6495665051304222,4,4.138130802000001
Full V6,MENTAL_002,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.0,0.0,0.0,0.0,0.0,0.0,False,0.10737128018747531,2,0.8360052840000002
Full V6,MENTAL_003,simple,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.0,0.0,0.0,0.0,0.0,0.0,False,0.035440722488002854,1,0.445766298
Full V6,MENTAL_004,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.0,0.0,0.0,0.0,0.0,0.0,False,0.45502652410790245,4,2.3108326700000004
Full V6,MENTAL_005,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.0,0.0,0.0,0.0,0.0,0.0,True,0.05276407562806382,0,0.030886392000000002
Full V6,MENTAL_006,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,False,0.040013922542837976,1,0.470130402
Full V6,MENTAL_007,simple,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.0,0.0,0.0,0.0,0.0,0.0,False,0.046428524964688855,1,0.557697574
Full V6,MENTAL_008,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.0,0.0,0.0,0.0,0.0,0.0,False,0.7286661937968589,6,4.525203808
Full V6,MENTAL_009,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04747362844334628,0,0.031235451999999997
Full V6,MENTAL_010,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.3466512745676231,4,2.1644311519999997
Full V6,SUBSTANCE_001,moderate,ผู้ประสบปัญหายาเสพติด,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,False,0.6068828683156712,4,3.573662315999999
Full V6,SUBSTANCE_002,complex,ผู้ประสบปัญหายาเสพติด,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,1.1723911681721637,7,6.8898569179999996
Full V6,SUBSTANCE_003,simple,ผู้ประสบปัญหายาเสพติด,0.0,0.0,0.0,0.0,0.0,0.0,False,0.03700298806298891,1,0.444290142
Full V6,SUBSTANCE_005,moderate,ผู้ประสบปัญหายาเสพติด,0.0,0.0,0.0,0.0,0.0,0.0,False,0.22645678317319862,3,1.5062817699999997
Full V6,NCD_001,simple,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),0.0,0.0,0.0,0.0,0.0,0.0,False,0.030228304279255498,1,0.44722764000000004
Full V6,NCD_002,moderate,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,False,0.05306691935943241,1,0.724967734
Full V6,NCD_003,moderate,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),0.4,0.6666666666666666,0.5,0.6508205185601091,0.5435897435897435,1.0,True,1.3893657128017307,5,6.738889641999999
Full V6,NCD_004,complex,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,False,1.2273753899443,4,6.2456734
Full V6,NCD_005,simple,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),0.0,0.0,0.0,0.0,0.0,0.0,True,0.037913714721483985,1,0.43597979000000003
Full V6,NCD_006,moderate,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),0.0,0.0,0.0,0.0,0.0,0.0,False,0.020293067174904592,1,0.330327932
Full V6,NCD_007,moderate,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.611471122267028,4,3.18518404
Full V6,NCD_008,complex,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),0.0,0.0,0.0,0.0,0.0,0.0,False,0.2839021774218678,2,1.9899008999999999
Full V6,NCD_009,simple,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),0.0,0.0,0.0,0.0,0.0,0.0,False,0.035496087682853165,1,0.42147853400000007
Full V6,NCD_010,moderate,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.5502741226392642,4,3.291610076
Full V6,HIV_TB_001,moderate,ผู้ป่วยเอดส์และวัณโรค,0.4,1.0,0.5714285714285715,1.0,1.0,1.0,False,0.4208196244522451,3,2.699536686
Full V6,HIV_TB_002,complex,ผู้ป่วยเอดส์และวัณโรค,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.575837424446999,3,3.0113430300000004
Full V6,HIV_TB_003,simple,ผู้ป่วยเอดส์และวัณโรค,0.0,0.0,0.0,0.0,0.0,0.0,False,0.04325140557195947,1,0.5210871120000001
Full V6,HIV_TB_004,moderate,ผู้ป่วยเอดส์และวัณโรค,0.0,0.0,0.0,0.0,0.0,0.0,False,0.10809669476790089,2,0.843225326
Full V6,HIV_TB_005,complex,ผู้ป่วยเอดส์และวัณโรค,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,False,1.6738693330140004,6,10.06066695
Full V6,BEDRIDDEN_001,complex,เคสติดเตียงไร้ญาติ,0.4,0.3333333333333333,0.3636363636363636,0.5531464700081437,0.7271825396825397,1.0,False,1.3635099026379298,5,6.572256342
Full V6,BEDRIDDEN_002,moderate,เคสติดเตียงไร้ญาติ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.7324388778666208,3,3.971949574
Full V6,BEDRIDDEN_003,moderate,เคสติดเตียงไร้ญาติ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.21316886141770983,3,1.4237803480000002
Full V6,BEDRIDDEN_004,complex,เคสติดเตียงไร้ญาติ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,1.6699263263895394,4,6.948170872
Full V6,BEDRIDDEN_005,moderate,เคสติดเตียงไร้ญาติ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.5978181649804222,4,3.044477408
Full V6,BEDRIDDEN_006,simple,เคสติดเตียงไร้ญาติ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.10577321189414828,2,0.8807325780000002
Full V6,BEDRIDDEN_007,complex,เคสติดเตียงไร้ญาติ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,2.2880537416218636,6,11.339821946
Full V6,BEDRIDDEN_008,moderate,เคสติดเตียงไร้ญาติ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.6278294396012654,3,3.4476901280000005
Full V6,BEDRIDDEN_009,moderate,เคสติดเตียงไร้ญาติ,0.4,1.0,0.5714285714285715,0.8503449055347546,0.7,1.0,False,0.15147488127482753,2,1.120813452
Full V6,BEDRIDDEN_010,complex,เคสติดเตียงไร้ญาติ,0.0,0.0,0.0,0.0,0.0,0.0,False,1.2194259459213674,5,5.740965352
Full V6,REHAB_001,moderate,เคสขอทุนฝึกอาชีพและฟื้นฟูสมรรถภาพ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.27867029961494416,3,1.754326816
