case_id,strategy,num_problems,avg_confidence,num_retrieved,avg_retrieval_score,processing_time,complexity,rag_contribution,problems_from_case,evidence_rag,evidence_hybrid,evidence_case
CASE_9,multi_hop,0,0,15,0.9122851475657737,0.013,simple,0,0,0,0,0
CASE_9,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_10,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_10,dynamic,0,0,5,0.7340906658461224,0.012,simple,0,0,0,0,0
CASE_10,multi_hop,0,0,15,0.9122851475657737,0.011,simple,0,0,0,0,0
CASE_10,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_11,basic,0,0,5,0.9176133323076527,0.012,simple,0,0,0,0,0
CASE_11,dynamic,0,0,5,0.7340906658461224,0.01,simple,0,0,0,0,0
CASE_11,multi_hop,0,0,15,0.9122851475657737,0.011,simple,0,0,0,0,0
CASE_11,adaptive,0,0,10,0.9147270517581731,0.012,simple,0,0,0,0,0
CASE_12,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_12,dynamic,0,0,5,0.7340906658461224,0.011,simple,0,0,0,0,0
CASE_12,multi_hop,0,0,15,0.9122851475657737,0.012,simple,0,0,0,0,0
CASE_12,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_13,basic,0,0,5,0.9176133323076527,0.012,simple,0,0,0,0,0
CASE_13,dynamic,0,0,5,0.7340906658461224,0.011,simple,0,0,0,0,0
CASE_13,multi_hop,0,0,15,0.9122851475657737,0.01,simple,0,0,0,0,0
CASE_13,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_14,basic,0,0,5,0.9176133323076527,0.012,simple,0,0,0,0,0
CASE_14,dynamic,0,0,5,0.7340906658461224,0.011,simple,0,0,0,0,0
CASE_14,multi_hop,0,0,15,0.9122851475657737,0.012,simple,0,0,0,0,0
CASE_14,adaptive,0,0,10,0.9147270517581731,0.014,simple,0,0,0,0,0
CASE_15,basic,0,0,5,0.9176133323076527,0.014,simple,0,0,0,0,0
CASE_15,dynamic,0,0,5,0.7340906658461224,0.01,simple,0,0,0,0,0
CASE_15,multi_hop,0,0,15,0.9122851475657737,0.011,simple,0,0,0,0,0
CASE_15,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_16,basic,0,0,5,0.9176133323076527,0.012,simple,0,0,0,0,0
CASE_16,dynamic,0,0,5,0.7340906658461224,0.014,simple,0,0,0,0,0
CASE_16,multi_hop,0,0,15,0.9122851475657737,0.012,simple,0,0,0,0,0
CASE_16,adaptive,0,0,10,0.9147270517581731,0.014,simple,0,0,0,0,0
CASE_17,basic,0,0,5,0.9176133323076527,0.015,simple,0,0,0,0,0
CASE_17,dynamic,0,0,5,0.7340906658461224,0.016,simple,0,0,0,0,0
CASE_17,multi_hop,0,0,15,0.9122851475657737,0.013,simple,0,0,0,0,0
CASE_17,adaptive,0,0,10,0.9147270517581731,0.013,simple,0,0,0,0,0
CASE_18,basic,0,0,5,0.9176133323076527,0.012,simple,0,0,0,0,0
CASE_18,dynamic,0,0,5,0.7340906658461224,0.011,simple,0,0,0,0,0
CASE_18,multi_hop,0,0,15,0.9122851475657737,0.011,simple,0,0,0,0,0
CASE_18,adaptive,0,0,10,0.9147270517581731,0.012,simple,0,0,0,0,0
CASE_19,basic,0,0,5,0.9176133323076527,0.015,simple,0,0,0,0,0
CASE_19,dynamic,0,0,5,0.7340906658461224,0.012,simple,0,0,0,0,0
CASE_19,multi_hop,0,0,15,0.9122851475657737,0.011,simple,0,0,0,0,0
CASE_19,adaptive,0,0,10,0.9147270517581731,0.012,simple,0,0,0,0,0
CASE_20,basic,0,0,5,0.9176133323076527,0.013,simple,0,0,0,0,0
CASE_20,dynamic,0,0,5,0.7340906658461224,0.01,simple,0,0,0,0,0
CASE_20,multi_hop,0,0,15,0.9122851475657737,0.011,simple,0,0,0,0,0
CASE_20,adaptive,0,0,10,0.9147270517581731,0.013,simple,0,0,0,0,0
CASE_21,basic,0,0,5,0.9176133323076527,0.012,simple,0,0,0,0,0
CASE_21,dynamic,0,0,5,0.7340906658461224,0.011,simple,0,0,0,0,0
CASE_21,multi_hop,0,0,15,0.9122851475657737,0.011,simple,0,0,0,0,0
CASE_21,adaptive,0,0,10,0.9147270517581731,0.01,simple,0,0,0,0,0
CASE_22,basic,0,0,5,0.9176133323076527,0.013,simple,0,0,0,0,0
CASE_22,dynamic,0,0,5,0.7340906658461224,0.013,simple,0,0,0,0,0
CASE_22,multi_hop,0,0,15,0.9122851475657737,0.012,simple,0,0,0,0,0
CASE_22,adaptive,0,0,10,0.9147270517581731,0.012,simple,0,0,0,0,0
CASE_23,basic,0,0,5,0.9176133323076527,0.013,simple,0,0,0,0,0
CASE_23,dynamic,0,0,5,0.7340906658461224,0.011,simple,0,0,0,0,0
CASE_23,multi_hop,0,0,15,0.9122851475657737,0.014,simple,0,0,0,0,0
CASE_23,adaptive,0,0,10,0.9147270517581731,0.013,simple,0,0,0,0,0
CASE_24,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_24,dynamic,0,0,5,0.7340906658461224,0.01,simple,0,0,0,0,0
CASE_24,multi_hop,0,0,15,0.9122851475657737,0.011,simple,0,0,0,0,0
CASE_24,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_25,basic,0,0,5,0.9176133323076527,0.014,simple,0,0,0,0,0
CASE_25,dynamic,0,0,5,0.7340906658461224,0.015,simple,0,0,0,0,0
CASE_25,multi_hop,0,0,15,0.9122851475657737,0.01,simple,0,0,0,0,0
CASE_25,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_26,basic,0,0,5,0.9176133323076527,0.01,simple,0,0,0,0,0
CASE_26,dynamic,0,0,5,0.7340906658461224,0.012,simple,0,0,0,0,0
CASE_26,multi_hop,0,0,15,0.9122851475657737,0.012,simple,0,0,0,0,0
CASE_26,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_27,basic,0,0,5,0.9176133323076527,0.015,simple,0,0,0,0,0
CASE_27,dynamic,0,0,5,0.7340906658461224,0.014,simple,0,0,0,0,0
CASE_27,multi_hop,0,0,15,0.9122851475657737,0.011,simple,0,0,0,0,0
CASE_27,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_28,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_28,dynamic,0,0,5,0.7340906658461224,0.013,simple,0,0,0,0,0
CASE_28,multi_hop,0,0,15,0.9122851475657737,0.012,simple,0,0,0,0,0
CASE_28,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_29,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_29,dynamic,0,0,5,0.7340906658461224,0.014,simple,0,0,0,0,0
CASE_29,multi_hop,0,0,15,0.9122851475657737,0.011,simple,0,0,0,0,0
CASE_29,adaptive,0,0,10,0.9147270517581731,0.01,simple,0,0,0,0,0
CASE_30,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_30,dynamic,0,0,5,0.7340906658461224,0.013,simple,0,0,0,0,0
CASE_30,multi_hop,0,0,15,0.9122851475657737,0.011,simple,0,0,0,0,0
CASE_30,adaptive,0,0,10,0.9147270517581731,0.01,simple,0,0,0,0,0
CASE_31,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_31,dynamic,0,0,5,0.7340906658461224,0.015,simple,0,0,0,0,0
CASE_31,multi_hop,0,0,15,0.9122851475657737,0.012,simple,0,0,0,0,0
CASE_31,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_32,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_32,dynamic,0,0,5,0.7340906658461224,0.014,simple,0,0,0,0,0
CASE_32,multi_hop,0,0,15,0.9122851475657737,0.011,simple,0,0,0,0,0
CASE_32,adaptive,0,0,10,0.9147270517581731,0.013,simple,0,0,0,0,0
CASE_33,basic,0,0,5,0.9176133323076527,0.012,simple,0,0,0,0,0
CASE_33,dynamic,0,0,5,0.7340906658461224,0.01,simple,0,0,0,0,0
CASE_33,multi_hop,0,0,15,0.9122851475657737,0.014,simple,0,0,0,0,0
CASE_33,adaptive,0,0,10,0.9147270517581731,0.012,simple,0,0,0,0,0
CASE_34,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_34,dynamic,0,0,5,0.7340906658461224,0.012,simple,0,0,0,0,0
CASE_34,multi_hop,0,0,15,0.9122851475657737,0.013,simple,0,0,0,0,0
CASE_34,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_35,basic,0,0,5,0.9176133323076527,0.012,simple,0,0,0,0,0
CASE_35,dynamic,0,0,5,0.7340906658461224,0.012,simple,0,0,0,0,0
CASE_35,multi_hop,0,0,15,0.9122851475657737,0.012,simple,0,0,0,0,0
CASE_35,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_36,basic,0,0,5,0.9176133323076527,0.01,simple,0,0,0,0,0
CASE_36,dynamic,0,0,5,0.7340906658461224,0.012,simple,0,0,0,0,0
CASE_36,multi_hop,0,0,15,0.9122851475657737,0.013,simple,0,0,0,0,0
CASE_36,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_37,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_37,dynamic,0,0,5,0.7340906658461224,0.01,simple,0,0,0,0,0
CASE_37,multi_hop,0,0,15,0.9122851475657737,0.015,simple,0,0,0,0,0
CASE_37,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_38,basic,0,0,5,0.9176133323076527,0.013,simple,0,0,0,0,0
CASE_38,dynamic,0,0,5,0.7340906658461224,0.013,simple,0,0,0,0,0
CASE_38,multi_hop,0,0,15,0.9122851475657737,0.012,simple,0,0,0,0,0
CASE_38,adaptive,0,0,10,0.9147270517581731,0.016,simple,0,0,0,0,0
CASE_39,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_39,dynamic,0,0,5,0.7340906658461224,0.011,simple,0,0,0,0,0
CASE_39,multi_hop,0,0,15,0.9122851475657737,0.016,simple,0,0,0,0,0
CASE_39,adaptive,0,0,10,0.9147270517581731,0.012,simple,0,0,0,0,0
CASE_40,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_40,dynamic,0,0,5,0.7340906658461224,0.011,simple,0,0,0,0,0
CASE_40,multi_hop,0,0,15,0.9122851475657737,0.012,simple,0,0,0,0,0
CASE_40,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
