case_id,strategy,num_problems,avg_confidence,num_retrieved,avg_retrieval_score,processing_time,complexity,rag_contribution,problems_from_case,evidence_rag,evidence_hybrid,evidence_case
CASE_1,basic,0,0,5,0.9176133323076527,0.592,simple,0,0,0,0,0
CASE_1,dynamic,0,0,5,0.7340906658461224,0.012,simple,0,0,0,0,0
CASE_1,multi_hop,0,0,15,0.9122851475657737,0.025,simple,0,0,0,0,0
CASE_1,adaptive,0,0,10,0.9147270517581731,0.013,simple,0,0,0,0,0
CASE_2,basic,0,0,5,0.9176133323076527,0.012,simple,0,0,0,0,0
CASE_2,dynamic,0,0,5,0.7340906658461224,0.013,simple,0,0,0,0,0
CASE_2,multi_hop,0,0,15,0.9122851475657737,0.013,simple,0,0,0,0,0
CASE_2,adaptive,0,0,10,0.9147270517581731,0.013,simple,0,0,0,0,0
CASE_3,basic,0,0,5,0.9176133323076527,0.013,simple,0,0,0,0,0
CASE_3,dynamic,0,0,5,0.7340906658461224,0.011,simple,0,0,0,0,0
CASE_3,multi_hop,0,0,15,0.9122851475657737,0.015,simple,0,0,0,0,0
CASE_3,adaptive,0,0,10,0.9147270517581731,0.013,simple,0,0,0,0,0
CASE_4,basic,0,0,5,0.9176133323076527,0.015,simple,0,0,0,0,0
CASE_4,dynamic,0,0,5,0.7340906658461224,0.012,simple,0,0,0,0,0
CASE_4,multi_hop,0,0,15,0.9122851475657737,0.012,simple,0,0,0,0,0
CASE_4,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_5,basic,0,0,5,0.9176133323076527,0.014,simple,0,0,0,0,0
CASE_5,dynamic,0,0,5,0.7340906658461224,0.012,simple,0,0,0,0,0
CASE_5,multi_hop,0,0,15,0.9122851475657737,0.012,simple,0,0,0,0,0
CASE_5,adaptive,0,0,10,0.9147270517581731,0.012,simple,0,0,0,0,0
CASE_6,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_6,dynamic,0,0,5,0.7340906658461224,0.024,simple,0,0,0,0,0
CASE_6,multi_hop,0,0,15,0.9122851475657737,0.014,simple,0,0,0,0,0
CASE_6,adaptive,0,0,10,0.9147270517581731,0.012,simple,0,0,0,0,0
CASE_7,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_7,dynamic,0,0,5,0.7340906658461224,0.012,simple,0,0,0,0,0
CASE_7,multi_hop,0,0,15,0.9122851475657737,0.016,simple,0,0,0,0,0
CASE_7,adaptive,0,0,10,0.9147270517581731,0.011,simple,0,0,0,0,0
CASE_8,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_8,dynamic,0,0,5,0.7340906658461224,0.011,simple,0,0,0,0,0
CASE_8,multi_hop,0,0,15,0.9122851475657737,0.013,simple,0,0,0,0,0
CASE_8,adaptive,0,0,10,0.9147270517581731,0.013,simple,0,0,0,0,0
CASE_9,basic,0,0,5,0.9176133323076527,0.011,simple,0,0,0,0,0
CASE_9,dynamic,0,0,5,0.7340906658461224,0.012,simple,0,0,0,0,0
