variant,matching_mode,P@5_mean,P@5_std,R@5_mean,R@5_std,F1@5_mean,F1@5_std,nDCG@5_mean,nDCG@5_std,nDCG@10_mean,nDCG@10_std,MAP_mean,MAP_std,MRR_mean,MRR_std
Semantic (Soft),soft,0.12210526315789473,0.2109648288567497,0.267719298245614,0.4182015031063948,0.15756892230576441,0.25649595943173104,0.24849404399070865,0.39515457443663965,0.27336140187451685,0.4057662017215107,0.24669892096207888,0.37687264709830054,0.28013302486986696,0.4302939058311178
Keyword (Graded),keyword_soft,0.12000000000000001,0.20915229104904356,0.2624561403508772,0.41198768903498406,0.15456140350877193,0.2532461335563745,0.245054569821564,0.392605722710811,0.2722490106885953,0.40408782569515567,0.24734765818976345,0.37732386314968874,0.28106805475226526,0.4302886638477747
Keyword (Hard),hard,0.12210526315789473,0.2109648288567497,0.267719298245614,0.4182015031063948,0.15756892230576441,0.25649595943173104,0.24846750250604244,0.3953204543703473,0.2756109762048996,0.4087103477960126,0.25027922370027633,0.38105566103758237,0.28113553113553114,0.43025681140794664
