model,strategy,P@5_mean,P@5_std,R@5_mean,R@5_std,F1@5_mean,F1@5_std,DCG@5_mean,DCG@5_std,IDCG@5_mean,IDCG@5_std,nDCG@5_mean,nDCG@5_std,P@10_mean,P@10_std,R@10_mean,R@10_std,F1@10_mean,F1@10_std,DCG@10_mean,DCG@10_std,IDCG@10_mean,IDCG@10_std,nDCG@10_mean,nDCG@10_std,MAP_mean,MAP_std,MRR_mean,MRR_std
qwen2.5:7b,bm25_only,0.13157894736842105,0.20449391252474985,0.2682017543859649,0.3861609080783455,0.1652360066833751,0.2410130637978814,0.7408034872497788,1.2550539653054456,1.1631964965771453,1.6895108703590216,0.26107763216413576,0.378179620597387,0.08157894736842106,0.1245720706591747,0.32609649122807016,0.4349568777579295,0.12471037734195628,0.18187684058364134,0.8171015452266155,1.3684109508128994,1.1631964965771453,1.6895108703590216,0.28609071468263547,0.39577997845359314,0.2731080870883502,0.3722436283956404,0.3334418505471137,0.45118219399280163
qwen2.5:7b,naive_rag,0.12368421052631579,0.1922748727991951,0.25899122807017544,0.38625846335075403,0.1553799270904534,0.22886206305874435,0.6199339489283988,1.0307257728305248,1.092371183022012,1.8118650141623946,0.23923929054616266,0.3586111031633645,0.08026315789473684,0.12595335495120383,0.3151315789473684,0.4314556996840582,0.1213064347932769,0.18135692348292368,0.7229187658614192,1.2211821291131268,1.097058119694486,1.8281441801108438,0.2623199866886247,0.37664905550636774,0.23161455381850116,0.3406196366585594,0.29839181286549704,0.43405735646435845
qwen2.5:7b,hyde,0.039473684210526314,0.10793897856184634,0.12412280701754386,0.31588389306439657,0.05629699248120301,0.14463945029480363,0.2031133202159894,0.6204261899899934,0.44559167623525786,1.0529789340280464,0.091451195272257,0.24379279881286348,0.030263157894736843,0.07629020094368494,0.18640350877192982,0.3822100364206107,0.04970249049196417,0.11553391391117562,0.23790771657719312,0.672480896571521,0.44559167623525786,1.0529789340280464,0.11090859912775795,0.25861768238909894,0.0849749373433584,0.21339118592617778,0.09717000835421888,0.2549035728514827
qwen2.5:7b,basic,0.15000000000000002,0.2232124291930347,0.3138157894736842,0.4319592029287278,0.19132205513784462,0.2714549250577159,0.7304743964867764,1.2120357728378823,1.1289216470569006,1.6127674360956905,0.2806720577421996,0.3950307495721588,0.09078947368421052,0.126118919735067,0.3767543859649123,0.45610622126444006,0.14051124314282207,0.1868246142841076,0.7868276014814142,1.2382292116934113,1.1289216470569006,1.6127674360956905,0.3031201893136178,0.3969577546226485,0.2781957004983321,0.37659477060920027,0.32076465201465204,0.4372598042742343
qwen2.5:7b,h2l-bm25,0.14473684210526316,0.22196245476184578,0.29846491228070177,0.41735635399865034,0.18240772385509227,0.2625261037506367,0.7915635525512189,1.3726356390779846,1.0734921628230933,1.6156372656569498,0.28125000704045533,0.3937506327617269,0.0868421052631579,0.13040983037372378,0.3603070175438597,0.45928156168311285,0.13336652382705014,0.18982780257435358,0.8363615498530994,1.4132796421238043,1.0781790994955676,1.621601589186194,0.3017532311509576,0.4039241672917262,0.26682749998539473,0.3693150467877015,0.31408730158730164,0.43879442836152044
qwen2.5:7b,h2l-naive_rag,0.12105263157894737,0.18416315511604212,0.25285087719298244,0.3756285789887646,0.15156071998177262,0.21914049075355918,0.6280322300930368,1.0528625031093772,1.1533044692532153,1.7537324256373816,0.2389782247364149,0.3524521628590661,0.08552631578947369,0.13178270798481773,0.3364035087719298,0.4356010121082695,0.12880891038785774,0.18691684726093097,0.756138185768538,1.2456172076934462,1.1626783425981633,1.775604799115886,0.271981653103519,0.37460506397318993,0.23448355555263448,0.3323639156897232,0.31237388342651495,0.4380720366733939
qwen2.5:7b,h2l-hyde,0.03333333333333333,0.08146961452616913,0.0871345029239766,0.23360624995535775,0.04508493455861877,0.1078733962624943,0.1752000945994857,0.503071046780122,0.5605494461920616,1.2000641069917724,0.07709719323818061,0.21385203674477718,0.03596491228070175,0.0840884713270757,0.18421052631578946,0.3615911030724633,0.057216175637228264,0.12467282957554288,0.24896390048614075,0.611046450760015,0.5605494461920616,1.2000641069917724,0.11493699578999586,0.24055461286811672,0.08767209155367049,0.20070356224460933,0.09885556694767222,0.2285038132888784
qwen2.5:7b,h2l-hybrid,0.15000000000000002,0.22556829845685872,0.32149122807017544,0.4361493482293577,0.19257518796992482,0.2723696022592675,0.7542568166812986,1.2271959362892166,1.0811462555625393,1.5149411062465399,0.2974596602515437,0.41160525747295756,0.09473684210526316,0.1359204906629396,0.3942982456140351,0.481169285479784,0.14668051246998617,0.20069987873622824,0.8323575624141526,1.2718645694109265,1.0811462555625393,1.5149411062465399,0.32854385760630395,0.42038742455816164,0.2932637610927084,0.3912963862088995,0.3350563909774436,0.44991122766825337
scb10x/llama3.1-typhoon2-8b-instruct:latest,bm25_only,0.13157894736842105,0.20449391252474985,0.2682017543859649,0.3861609080783455,0.1652360066833751,0.2410130637978814,0.7408034872497788,1.2550539653054456,1.1631964965771453,1.6895108703590216,0.26107763216413576,0.378179620597387,0.08157894736842106,0.1245720706591747,0.32609649122807016,0.4349568777579295,0.12471037734195628,0.18187684058364134,0.8171015452266155,1.3684109508128994,1.1631964965771453,1.6895108703590216,0.28609071468263547,0.39577997845359314,0.2731080870883502,0.3722436283956404,0.3334418505471137,0.45118219399280163
scb10x/llama3.1-typhoon2-8b-instruct:latest,naive_rag,0.12368421052631579,0.1922748727991951,0.25899122807017544,0.38625846335075403,0.1553799270904534,0.22886206305874435,0.6199339489283988,1.0307257728305248,1.092371183022012,1.8118650141623946,0.23923929054616266,0.3586111031633645,0.08026315789473684,0.12595335495120383,0.3151315789473684,0.4314556996840582,0.1213064347932769,0.18135692348292368,0.7229187658614192,1.2211821291131268,1.097058119694486,1.8281441801108438,0.2623199866886247,0.37664905550636774,0.23161455381850116,0.3406196366585594,0.29839181286549704,0.43405735646435845
scb10x/llama3.1-typhoon2-8b-instruct:latest,hyde,0.039473684210526314,0.10793897856184634,0.12412280701754386,0.31588389306439657,0.05629699248120301,0.14463945029480363,0.2031133202159894,0.6204261899899934,0.44559167623525786,1.0529789340280464,0.091451195272257,0.24379279881286348,0.030263157894736843,0.07629020094368494,0.18640350877192982,0.3822100364206107,0.04970249049196417,0.11553391391117562,0.23790771657719312,0.672480896571521,0.44559167623525786,1.0529789340280464,0.11090859912775795,0.25861768238909894,0.0849749373433584,0.21339118592617778,0.09717000835421888,0.2549035728514827
