model,strategy,P@5_mean,P@5_std,R@5_mean,R@5_std,F1@5_mean,F1@5_std,DCG@5_mean,DCG@5_std,IDCG@5_mean,IDCG@5_std,nDCG@5_mean,nDCG@5_std,P@10_mean,P@10_std,R@10_mean,R@10_std,F1@10_mean,F1@10_std,DCG@10_mean,DCG@10_std,IDCG@10_mean,IDCG@10_std,nDCG@10_mean,nDCG@10_std,MAP_mean,MAP_std,MRR_mean,MRR_std
scb10x/llama3.1-typhoon2-8b-instruct:latest,basic,0.15000000000000002,0.2232124291930347,0.3138157894736842,0.4319592029287278,0.19132205513784462,0.2714549250577159,0.7304743964867764,1.2120357728378823,1.1289216470569006,1.6127674360956905,0.2806720577421996,0.3950307495721588,0.09078947368421052,0.126118919735067,0.3767543859649123,0.45610622126444006,0.14051124314282207,0.1868246142841076,0.7868276014814142,1.2382292116934113,1.1289216470569006,1.6127674360956905,0.3031201893136178,0.3969577546226485,0.2781957004983321,0.37659477060920027,0.32076465201465204,0.4372598042742343
scb10x/llama3.1-typhoon2-8b-instruct:latest,h2l-bm25,0.14473684210526316,0.22196245476184578,0.29846491228070177,0.41735635399865034,0.18240772385509227,0.2625261037506367,0.784072454631132,1.3730328790014816,1.0734921628230933,1.6156372656569498,0.2737589091203684,0.38529333155314976,0.0868421052631579,0.13040983037372378,0.3603070175438597,0.45928156168311285,0.13336652382705014,0.18982780257435358,0.8288704519330125,1.4139038740554286,1.0781790994955676,1.621601589186194,0.2942621332308707,0.39607405874512674,0.25695907893276315,0.3594376901972199,0.30421888053467006,0.4316008202324438
scb10x/llama3.1-typhoon2-8b-instruct:latest,h2l-naive_rag,0.12105263157894737,0.18416315511604212,0.2594298245614035,0.38421817871743685,0.15218728639781273,0.21959276201050235,0.6265434512408598,1.0545763575288614,1.1450027619693803,1.7529415054259134,0.24000227995404935,0.35340635669145765,0.08421052631578947,0.132131924042843,0.3298245614035088,0.4368600063189032,0.12661592793171741,0.1874390844266463,0.7502634420040802,1.2495777895407678,1.154376635314328,1.7748676647268127,0.2686197434088728,0.3767795928341321,0.2329506038552091,0.3334432048182212,0.3081445601182443,0.4380214451620437
scb10x/llama3.1-typhoon2-8b-instruct:latest,h2l-hyde,0.0368421052631579,0.08423081137550353,0.09956140350877192,0.2506522136138131,0.050271512113617384,0.11279419061885089,0.19008074925174173,0.51048117867456,0.5874056419082445,1.1923467930580391,0.08746830242243028,0.2221239572958804,0.039473684210526314,0.08614956879234442,0.20614035087719298,0.37898002559989136,0.06297430639535903,0.12795546425608528,0.26963145772214814,0.6211820283669081,0.5874056419082445,1.1923467930580391,0.12942499459863582,0.25167491485356414,0.09813095530200794,0.20599338053042565,0.11379585326953748,0.2465475411294458
scb10x/llama3.1-typhoon2-8b-instruct:latest,h2l-hybrid,0.15000000000000002,0.22556829845685872,0.32149122807017544,0.4361493482293577,0.19257518796992482,0.2723696022592675,0.7491666481650546,1.2288157255160848,1.0811462555625393,1.5149411062465399,0.29146190244586273,0.40496936848614656,0.09473684210526316,0.1359204906629396,0.3942982456140351,0.481169285479784,0.14668051246998617,0.20069987873622824,0.8275025051682718,1.2744130490741352,1.0811462555625393,1.5149411062465399,0.32263788255010106,0.4146594118434191,0.28604258314784625,0.3849220192495002,0.3262844611528822,0.4432826120896774
scb10x/typhoon2.1-gemma3-4b:latest,bm25_only,0.13157894736842105,0.20449391252474985,0.2682017543859649,0.3861609080783455,0.1652360066833751,0.2410130637978814,0.7408034872497788,1.2550539653054456,1.1631964965771453,1.6895108703590216,0.26107763216413576,0.378179620597387,0.08157894736842106,0.1245720706591747,0.32609649122807016,0.4349568777579295,0.12471037734195628,0.18187684058364134,0.8171015452266155,1.3684109508128994,1.1631964965771453,1.6895108703590216,0.28609071468263547,0.39577997845359314,0.2731080870883502,0.3722436283956404,0.3334418505471137,0.45118219399280163
scb10x/typhoon2.1-gemma3-4b:latest,naive_rag,0.12368421052631579,0.1922748727991951,0.25899122807017544,0.38625846335075403,0.1553799270904534,0.22886206305874435,0.6199339489283988,1.0307257728305248,1.092371183022012,1.8118650141623946,0.23923929054616266,0.3586111031633645,0.08026315789473684,0.12595335495120383,0.3151315789473684,0.4314556996840582,0.1213064347932769,0.18135692348292368,0.7229187658614192,1.2211821291131268,1.097058119694486,1.8281441801108438,0.2623199866886247,0.37664905550636774,0.23161455381850116,0.3406196366585594,0.29839181286549704,0.43405735646435845
scb10x/typhoon2.1-gemma3-4b:latest,hyde,0.039473684210526314,0.10793897856184634,0.12412280701754386,0.31588389306439657,0.05629699248120301,0.14463945029480363,0.2031133202159894,0.6204261899899934,0.44559167623525786,1.0529789340280464,0.091451195272257,0.24379279881286348,0.030263157894736843,0.07629020094368494,0.18640350877192982,0.3822100364206107,0.04970249049196417,0.11553391391117562,0.23790771657719312,0.672480896571521,0.44559167623525786,1.0529789340280464,0.11090859912775795,0.25861768238909894,0.0849749373433584,0.21339118592617778,0.09717000835421888,0.2549035728514827
scb10x/typhoon2.1-gemma3-4b:latest,basic,0.15000000000000002,0.2232124291930347,0.3138157894736842,0.4319592029287278,0.19132205513784462,0.2714549250577159,0.7304743964867764,1.2120357728378823,1.1289216470569006,1.6127674360956905,0.2806720577421996,0.3950307495721588,0.09078947368421052,0.126118919735067,0.3767543859649123,0.45610622126444006,0.14051124314282207,0.1868246142841076,0.7868276014814142,1.2382292116934113,1.1289216470569006,1.6127674360956905,0.3031201893136178,0.3969577546226485,0.2781957004983321,0.37659477060920027,0.32076465201465204,0.4372598042742343
scb10x/typhoon2.1-gemma3-4b:latest,h2l-bm25,0.14473684210526316,0.22196245476184578,0.29846491228070177,0.41735635399865034,0.18240772385509227,0.2625261037506367,0.784072454631132,1.3730328790014816,1.0734921628230933,1.6156372656569498,0.2737589091203684,0.38529333155314976,0.0868421052631579,0.13040983037372378,0.3603070175438597,0.45928156168311285,0.13336652382705014,0.18982780257435358,0.8288704519330125,1.4139038740554286,1.0781790994955676,1.621601589186194,0.2942621332308707,0.39607405874512674,0.25695907893276315,0.3594376901972199,0.30421888053467006,0.4316008202324438
scb10x/typhoon2.1-gemma3-4b:latest,h2l-naive_rag,0.12105263157894737,0.18416315511604212,0.2594298245614035,0.38421817871743685,0.15218728639781273,0.21959276201050235,0.6253973196259569,1.0531035628591061,1.1450027619693803,1.7529415054259134,0.2395548530369261,0.35273058143559854,0.08421052631578947,0.132131924042843,0.3298245614035088,0.4368600063189032,0.12661592793171741,0.1874390844266463,0.7491173103891774,1.2481582457185265,1.154376635314328,1.7748676647268127,0.26817231649174955,0.3760328511904478,0.23234753367977054,0.3324982710550835,0.3081445601182443,0.4380214451620437
scb10x/typhoon2.1-gemma3-4b:latest,h2l-hyde,0.034210526315789476,0.0821827204239775,0.09298245614035087,0.2465661852018305,0.04651211361737678,0.1095861983773813,0.1769228545148996,0.5022205119679205,0.5659460398875675,1.1880223446502667,0.07940057620183213,0.2138287635687701,0.0368421052631579,0.08423081137550355,0.19298245614035087,0.36835411159154036,0.05858834148307832,0.124256550428452,0.25208759807302533,0.6095617599501694,0.5659460398875675,1.1880223446502667,0.11866802630450497,0.2391398491541682,0.08967230868546658,0.19638527517570878,0.10063795853269537,0.22450781285817678
scb10x/typhoon2.1-gemma3-4b:latest,h2l-hybrid,0.15000000000000002,0.22556829845685872,0.32149122807017544,0.4361493482293577,0.19257518796992482,0.2723696022592675,0.7476778693128776,1.2272011450098352,1.0811462555625393,1.5149411062465399,0.29088071288312267,0.4042211095712355,0.09473684210526316,0.1359204906629396,0.3942982456140351,0.481169285479784,0.14668051246998617,0.20069987873622824,0.8257786150457316,1.2722752986823778,1.0811462555625393,1.5149411062465399,0.32196491023788293,0.41365711469838456,0.28449183126814703,0.38269542622359237,0.3262844611528822,0.4432826120896774
