metric,reference,comparison,test,n_pairs,n_nonzero_differences,reference_minus_comparison_mean,median_difference,statistic,raw_p,holm_p,significant_0_05,cohens_d_paired,effect,ci_95_low,ci_95_high,multiplicity_correction
nDCG@5,Semantic (Soft),Keyword (Graded),Wilcoxon,95,3,0.0034394741691446073,0.0,1.0,0.28504940740261275,0.5700988148052255,False,0.13763772661071075,negligible,-0.0015856735001986148,0.00846462183848783,Holm-Bonferroni
nDCG@5,Semantic (Soft),Keyword (Hard),Wilcoxon,95,4,2.6541484666221e-05,0.0,4.0,0.7150006546880893,0.7150006546880893,False,0.001548833739783865,negligible,-0.0034194537935284684,0.0034725367628609103,Holm-Bonferroni
nDCG@5,Keyword (Graded),Keyword (Hard),Wilcoxon,95,3,-0.0034129326844783863,0.0,0.0,0.10880943004054569,0.3264282901216371,False,-0.13430639002569236,negligible,-0.00852298461307288,0.0016971192441161075,Holm-Bonferroni
nDCG@10,Semantic (Soft),Keyword (Graded),Wilcoxon,95,5,0.001112391185921528,0.0,6.0,0.6858304344516057,0.6858304344516057,False,0.07139303920928342,negligible,-0.0020208652085365775,0.004245647580379633,Holm-Bonferroni
nDCG@10,Semantic (Soft),Keyword (Hard),Wilcoxon,95,10,-0.002249574330382733,0.0,11.0,0.09260069782067576,0.18520139564135152,False,-0.09803632108930725,negligible,-0.0068638932646355785,0.002364744603870112,Holm-Bonferroni
nDCG@10,Keyword (Graded),Keyword (Hard),Wilcoxon,95,7,-0.0033619655163042612,0.0,0.0,0.017960477526078763,0.053881432578236285,False,-0.19583763034043317,negligible,-0.006814129166175268,9.019813356674587e-05,Holm-Bonferroni
